མཚན་བྱང།,ཤོགས་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
མཆན་ཁུང་གི་སྦྱོར་བ།,187,2,1,,མཚན་བྱང་འདི་གཞུང་ལས་བླངས་ཏེ་བཀོད་ཅིང་། 《པེ་》《སྣར་》མཆན་ཁུང་གི་སྒྲུབས་ཐབས་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,ལག,
,,4,3,《པེ་》《སྣར་》,བྱ།,
,,5,4,《པེ་》《སྣར་》,སྐུ།,
,,6,5,《པེ་》《སྣར་》,རིམ།,
,,7,6,《པེ་》《སྣར་》,pལ།,
,188,8,1,《པེ་》《སྣར་》,བཟའ།,
,,9,2,《པེ་》,ཡིས། །དེ་ཡི།,
,,10,3,《པེ་》,བཟའ།,
,,11,4,《པེ་》《སྣར་》,ན།,
,189,12,1,《པེ་》《སྣར་》《ཅོ་》,དང་།,
,,13,2,《པེ་》《སྣར་》,ཀྱི།,
,190,14,1,《པེ་》,གྱིས།,
,,15,2,《པེ་》,ཡི་ལྷག་པའི།,《སྣར་》,ཡིས་ལྷག་པའི།
,,16,3,《པེ་》《སྣར་》,གཟུང་།,
,,17,4,《པེ་》《སྣར་》,mགི།,
,,,,,,
