མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
༄༅། །སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ་བཞུགས།,1854,2,1,《པེ་》《སྣར་》,སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ་བཞུགས། ,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》,ཙརྱ་སང་གྲ་ཧཱ།,《སྣར་》,ཙཱརྱ་སང་གྲ་ཧཱ།,,,,
,,4,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,5,4,《པེ་》《སྣར་》,ཡིན།,,,,,
,,6,5,《པེ་》,སྲུངས།,《སྣར་》,བསྲུངས།,,,,
,1855,7,1,《པེ་》《སྣར་》,ཡིས།,,,,,
,,8,2,《པེ་》《སྣར་》,བརྒྱུད།,,,,,
,,9,3,《པེ་》《སྣར་》,སྐོར།,,,,,
,1856,10,1,《པེ་》《སྣར་》,གིས།,,,,,
,,11,2,《པེ་》《སྣར་》,བའི།,,,,,
,,12,3,《པེ་》《སྣར་》,པྃ།,,,,,
,,13,4,《པེ་》,pམངྒ་ལཾ།,《སྣར་》,བཀྲིས།,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
