མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན་གྲངས།,
དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།,767,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》ལ་༄། །དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,གྷཱ།,
,768,4,1,《པེ་》《སྣར་》,ཕྱིར་དགེ་སྦྱོང་།,
,769,5,1,《སྣར་》,mརོ།,
,,6,2,《སྣར་》,mསོ།,
,,7,3,《པེ་》《སྣར་》,བར།,
,770,8,1,《པེ་》《སྣར་》,ན་ཡང་།,
,,9,2,《པེ་》《སྣར་》,འགྱུར་བ།,
,,10,3,《པེ་》《སྣར་》,mམ།,
,,11,4,《པེ་》《སྣར་》,mཔ།,
,,12,5,《སྣར་》,བ་ནི།,
,,13,6,《པེ་》《སྣར་》,mལྡན།,
,,14,7,《པེ་》《སྣར་》,པས།,
,,15,8,《པེ་》《སྣར་》,ཀྱིས།,
,771,16,1,《སྣར་》,མནན།,
,,17,2,《པེ་》《སྣར་》,pཀྱི།,
,,18,3,《པེ་》《སྣར་》,pགང་ཞིག,
,,19,4,《པེ་》《སྣར་》,སྤོང་བ།,
,,20,5,《པེ་》《སྣར་》,དགའ་བའི།,
,,21,6,《པེ་》《སྣར་》,བ།,
,772,22,1,《པེ་》,པ་ནི།,《སྣར་》,པ་ན།
,,23,2,《སྣར་》,ལན།,
,,24,3,《པེ་》《སྣར་》,ཡིས།,
,,25,4,《པེ་》《སྣར་》,།། ། །,
,,26,5,《པེ་》《སྣར་》,དྲཱ།,
