མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ,མཆན
༄༅།།རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ་ལས་བྱུང་བའི་སྨོན་ལམ་ཚིགས་སུ་བཅད་པ་ཉི་ཤུ་བཞུགས་སོ།།,1684,2,1,,མཚན་བྱང་འདི༨༣《སྡེ་》《ཅོ་》ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ་ཞེས་བྱ་བ་ལས་འབྱུང་བའི་སྨོན་ལམ་ཚིགས་སུ་བཅད་པ་ཉི་ཤུ་པ་བཞུགས་སོ། །ཞེས་འཁོད།
,,3,2,《སྣར་》,སུམ།
,,4,3,《པེ་》《སྣར་》,བཟུང་།
,,5,4,《པེ་》《སྣར་》,བགྱིས་པའི།
,1685,6,1,《པེ་》《སྣར་》,འཚོ།
,,7,2,《སྣར་》,རིག
,,8,3,《པེ་》《སྣར་》,བཞིན།
,,9,4,《པེ་》《སྣར་》,འགྱུར་བར།
,,10,5,《པེ་》《སྣར་》,བྱེད།
,,11,6,《པེ་》《སྣར་》,རྒྱན་ཅིང་། །མཆོག
,,12,7,《སྣར་》,འོངས།
,,13,8,《པེ་》《སྣར་》,སལ།
,,14,9,《པེ་》《སྣར་》,དེ།
,,15,10,《པེ་》《སྣར་》,མིང་ཙམ།
,1686,16,1,《སྣར་》,སྐྱེས་པོ།
,,17,2,《པེ་》《སྣར་》,པ།,,
,,18,3,《པེ་》《སྣར་》,ཀྱི།,,
,,19,4,《པེ་》《སྣར་》,སྦྱིན།,,
,,20,5,《པེ་》《སྣར་》,གའི།,,
,,21,6,《པེ་》《སྣར་》,ཀྱི།,,
,,22,7,《པེ་》《སྣར་》,pཞེས་བྱ་བ།,,
,,23,8,《པེ་》《སྣར་》,འབྱུང་།,,
