                   མཚན་བྱང།,               ཤོག་གྲངས།,1,               མཆན་གྲངས།,                       པར་མ།,                                                     མཆན།,            པར་གྲངས།
དབུ་མ་འཁྲུལ་པ་འཇོམས་པ་ཞེས་བྱ་བ།,844,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་༄༅། །དབུ་མ་འཁྲུལ་པ་འཇོམས་པ་ཞེས་བྱ་བ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,བྷཱ་མ་ག་ཏཱ་མ་དྷྱ།,
,,4,3,《ཅོ་》,ནི།,
,,5,4,《པེ་》《སྣར་》,ཀྱི།,
,845,6,1,《ཅོ་》,གྱིས།,
,846,7,1,《པེ་》《སྣར་》,གྱི།,
,,8,2,《པེ་》《སྣར་》,pདང་།,
,,9,3,《པེ་》《སྣར་》,mནུ།,
,,10,4,《པེ་》《སྣར་》,ཡས།,
,,11,5,《པེ་》《སྣར་》,ཚོམ་སྒྲེངས།,
,847,12,1,《པེ་》《སྣར་》,བསམ།,
,,13,2,《པེ་》《སྣར་》,བརྟེན།,
,,14,3,《པེ་》《སྣར་》,བསྒྲིབ།,
,,15,4,《པེ་》《སྣར་》,པ།,
,,16,5,《པེ་》《སྣར་》,བསྒྲུབ།,
,,17,6,《པེ་》《སྣར་》,པར།,
,848,18,1,《པེ་》《སྣར་》,ཀྱི།,
,,19,2,《པེ་》《སྣར་》,mཔ།,
,,20,3,《པེ་》《སྣར་》,པ།,
,,21,4,《པེ་》《སྣར་》,མིག,
,,22,5,《ཅོ་》,ལས།,
,859,23,1,《པེ་》《སྣར་》,ལནྡའི།,
