མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ་།,མཆན།།,,
༄༅། །ལུགས་ཀྱི་བསྟན་བཅོས་སྐྱེ་བོ་གསོ་བའི་ཐིགས་པ་ཞེས་བྱ་བ།,1333,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》ལ་ལུགས་ཀྱི་བསྟན་བཅོས་སྐྱེ་བོ་གསོ་བའི་ཐིགས་པ་ཞེས་བྱ་བ་བཞུགས། ཞེས་འཁོད།,,
,,3,2,《པེ་》《སྣར་》,ན་པུ་ཛ་ན་ཏུ་བྷི་དྷུ།,,
,,4,3,《སྣར་》,ཤཱ།,,
,,5,4,《པེ་》《སྣར་》,ཆོས།,,
,,6,5,《པེ་》《སྣར་》,གྱིས།,,
,,7,6,《པེ་》《སྣར་》,པར།,,
,,8,7,《པེ་》,གྱིས།,《སྣར་》,གྱི།,
,,9,8,《པེ་》《སྣར་》,མ་ལྟ་བུ།,,
,,10,9,《པེ་》《སྣར་》,ལ་སྙན་སྔགས།,,
,,11,10,《སྣར་》,དུ་དག,,
,1334,12,1,《པེ་》《སྣར་》,སུ།,,
,,13,2,《པེ་》《སྣར་》,ན།,,
,,14,3,《པེ་》《སྣར་》,འཕུང་།,,
,,15,4,《པེ་》,ལནྟ།,《སྣར་》,ལན།,
,,16,5,《སྣར་》,མི།,,
,,17,6,《པེ་》《སྣར་》,སྨྲས།,,
,,18,7,《པེ་》《སྣར་》,སྨྲས།,,
,,19,8,《པེ་》《སྣར་》,བསྟན་བཅོས།,,
,,20,9,《པེ་》《སྣར་》,ཚིག་རྩུབ།,,
,,21,10,《པེ་》《སྣར་》,བྱ་སྟེ།,,
,,22,11,《པེ་》《སྣར་》,རྫུན།,,
,,23,12,《པེ་》《སྣར་》,རྫུན།,,
,,24,13,《པེ་》,རྫུན།,,
,,25,14,《པེ་》《སྣར་》,རྫུན།,,
,,26,15,《པེ་》《སྣར་》,པ་བྱ་བ་མིན།,,
,,27,16,《པེ་》《སྣར་》,ཡིས།,,
,,28,17,《པེ་》《སྣར་》,ཡ།,,
,,29,18,《པེ་》《སྣར་》,ཤེས།,,
,,30,19,《སྣར་》,སྙན།,,
,,31,20,《པེ་》,ཤེས་ངན།,《སྣར་》,ཤེས་ཉན།,
,,32,21,《པེ་》《སྣར་》,དེ།,,
,,33,22,《པེ་》《སྣར་》,གཡོ།,,
,,34,23,《སྣར་》,ཉན།,,
,,35,24,《པེ་》《སྣར་》,སྤྱང་ཀི།,,
,,36,25,《སྣར་》,བལྟོས།,,
,,37,26,《པེ་》《སྣར་》,ན།,,
,,38,27,《པེ་》《སྣར་》,བཞིན།,,
,,39,28,《པེ་》《སྣར་》,བ།,,
,1335,40,1,《པེ་》《སྣར་》,ངན།,,
,,41,2,《སྣར་》,པོ།,,
,,42,3,《སྣར་》,སྡོས།,,
,,43,4,《པེ་》,པདྨ།,,
,,44,5,《པེ་》,པས་ནི་རྒུན་ནས་གསོས།,《སྣར་》,པ་ནི་རྒུན་ནས་གསོས།,
,,45,6,《པེ་》《སྣར་》,འབྲས་བུ།,,
,,46,7,《པེ་》《སྣར་》,ཡོད།,,
,,47,8,《པེ་》《སྣར་》,ཡི།,,
,,48,9,《སྣར་》,གྱིས།,,
,,49,10,《པེ་》《སྣར་》,བསླངས།,,
,,50,11,《པེ་》《སྣར་》,རྩ།,,
,,51,12,《པེ་》《སྣར་》,སྤར།,,
,,52,13,《པེ་》,གྱིས།,《སྣར་》,བགྱིས།,
,,53,14,《སྣར་》,གྱིས།,,
,1336,54,1,《པེ་》《སྣར་》,པོ་མང་པོས་ཕན་བཏགས་ཀྱང་། །ཕན་མེད་གྲོགས་པོ་སྤོང་གྱུར།,,
,,55,2,《པེ་》《སྣར་》,གཡོ་ཞིང་།,,
,,56,3,《སྣར་》,བརྟག,,
,,57,4,《པེ་》,ཚོས་ཀྱི།,《སྣར་》,ཚོས་ཀྱིས།,
,,58,5,《པེ་》《སྣར་》,པས།,,
,,59,6,《པེ་》《སྣར་》,པ།,,
,,60,7,《པེ་》《སྣར་》,བཟོ།,,
,,61,8,《པེ་》《སྣར་》,བཟོ།,,
,,62,9,《པེ་》《སྣར་》,བཟོན།,,
,,63,10,《པེ་》《སྣར་》,དག,,
,,64,11,《པེ་》《སྣར་》,འོང་འགྱུར།,,
,,65,12,《པེ་》《སྣར་》,དང་།,,
,,66,13,《པེ་》《སྣར་》,དོར།,,
,,67,14,《པེ་》《སྣར་》,དཔགས།,,
,,68,15,《པེ་》,གྱིས།,,
,,69,16,《པེ་》《སྣར་》,ཟློས།,,
,1337,70,1,《པེ་》《སྣར་》,བཟློག,,
,,71,2,《པེ་》《སྣར་》,གྱིས།,,
,,72,3,《པེ་》《སྣར་》,སྔང་།,,
,,73,4,《པེ་》《སྣར་》,སྐོན།,,
,,74,5,《པེ་》《སྣར་》,ཅན།,,
,,75,6,《པེ་》《སྣར་》,༽ མུ་ཅོར།,,
,,76,7,《པེ་》《སྣར་》,༼ པར་བྱ།,,
,,77,8,《པེ་》《སྣར་》,སྟོབས་ཀྱི་ཕྱོགས་ཀྱང་ཆུང་གྱུར་ཞིང་།,,
,,78,9,《པེ་》《སྣར་》,ང་རྒྱལ་ཤིན་ཏུ།,,
,,79,10,《པེ་》《སྣར་》,ཁ།,,
,,80,11,《པེ་》,སྐམ་དང་ཁྲིམས།,《སྣར་》,སྐམས་དང་ཁྲིམས།,
,,81,12,《པེ་》《སྣར་》,༽ ཤིན་ཏུ།,,,
,,82,13,《པེ་》《སྣར་》,དང་འདྲ།,,,
,,83,14,《པེ་》《སྣར་》,པ།,,,
,,84,15,《པེ་》《སྣར་》,བཟོའི།,,,
,,85,16,《སྣར་》,ཟན།,,,
,,86,17,《པེ་》《སྣར་》,བྱེད།,,,
,,87,18,《པེ་》《སྣར་》,པའི་ལོངས།,,,
,,88,19,《སྣར་》,བསམ།,,,
,,89,20,《པེ་》《སྣར་》,ལ།,,,
,,90,21,《པེ་》,པའི་ལག་པ།,《སྣར་》,པའི་ལོག་པ།,《ཅོ་》,པ་ཡོང་བ།,
,1338,91,1,《པེ་》《སྣར་》,འཕུང་།,,,
,,92,2,《སྣར་》,བར།,,,
,,93,3,《པེ་》《སྣར་》,པ།,,,
,,94,4,《པེ་》,མར།,,,
,,95,5,《པེ་》,དོ་སྲིད་པའི།,《སྣར་》,དོར་སྲིད་པའི།,,
,,96,6,《པེ་》《སྣར་》,ཕྱེ། །རང་དབང་།,,,
,,97,7,《པེ་》《སྣར་》,ཁྲིད།,,
,,98,8,《པེ་》《སྣར་》,བསླུ།,,
,,99,9,《པེ་》《སྣར་》,མོ་མཐོང་བའི།,,
,,100,10,《པེ་》《སྣར་》,སྐྱེས་རྣམས་ཀྱིས།,,
,,101,11,《པེ་》《སྣར་》,དེ།,,
,,102,12,《པེ་》《སྣར་》,རྫུན།,,
,,103,13,《པེ་》《སྣར་》,སྤང་།,,
,,104,14,《པེ་》《སྣར་》,༼ མ་ལུས་པ་ནི་བསྡམ་པར་བྱ།།,,
,,105,15,《པེ་》《སྣར་》,སྤང་།,,
,,106,16,《པེ་》,དྲང་བ་ཡི།,《སྣར་》,དྲང་བ་ཡིན།,
,,107,17,《པེ་》《སྣར་》,ཅིག,,
,,108,18,《པེ་》《སྣར་》,རྣམས།,,
,1339,109,1,《པེ་》《སྣར་》,ལྟ།,,
,,110,2,《པེ་》,རྣམས།,,
,,111,3,《པེ་》《སྣར་》,བཅད།,,
,,112,4,《པེ་》《སྣར་》,ནས།,,
,,113,5,《པེ་》《སྣར་》,ཀྱི་བརྡོ།,,
,,114,6,《པེ་》《སྣར་》,ལེ་ལོའི།,,
,,115,7,《པེ་》《སྣར་》,ངན་གཤན།,,
,,116,8,《པེ་》《སྣར་》,མོར།,,
,,117,9,《པེ་》,ལྟས་མི་བསྲུང་།,《སྣར་》,ལྟས་མི་སྲུང་།,
,,118,10,《པེ་》,གཤུང་།,,
,,119,11,《པེ་》《སྣར་》,བྷི།,,
,,120,12,《པེ་》《སྣར་》,མདོམ།,,
,,121,13,《པེ་》《སྣར་》,ལྷུང་།,,
,,122,14,《པེ་》《སྣར་》,རུང་།,,
,,123,15,《པེ་》《སྣར་》,གྱིས།,,
,,124,16,《པེ་》《སྣར་》,འགས།,,
,,125,17,《པེ་》《སྣར་》,དགའ།,,
,,126,18,《པེ་》《སྣར་》,སྐལ།,,
,,127,19,《པེ་》《སྣར་》,གོས་མི་མྱོང་།,,
,,128,20,《སྣར་》,འབྲེལ་པ།,,
,,129,21,《པེ་》《སྣར་》,དྲེའུ།,,
,,130,22,《པེ་》《སྣར་》,དང་།,,
,,131,23,《པེ་》,བརྟེན།,,
,,132,24,《པེ་》《སྣར་》,འཕུང་བ་སྒྲུབ།,,
,,133,25,《པེ་》,མ་འཛངས་པའི།,《སྣར་》,མ་འཛངས་མའི།,
,1340,134,1,《པེ་》《སྣར་》,བོ།,,
,,135,2,《པེ་》《སྣར་》,གཡེངས།,,
,,136,3,《པེ་》《སྣར་》,ཡིན།,,
,,137,4,《པེ་》《སྣར་》,བསླུ།,,
,,138,5,《པེ་》《སྣར་》,ཡི།,,
,,139,6,《པེ་》《སྣར་》,མི་ལྡན་པ།,,
,,140,7,《པེ་》《སྣར་》,བསླུའི།,,
,,141,8,《པེ་》《སྣར་》,བཞིན།,,
,,142,9,《པེ་》《སྣར་》,གྱུར།,,
,,143,10,《པེ་》《སྣར་》,རི།,,
,,144,11,《སྣར་》,སྨྲས།,,
,,145,12,《པེ་》《སྣར་》,ཅལ་ཅོལ།,,
,,146,13,《པེ་》《སྣར་》,ལ་ཡངས་པར།,《ཅོ་》,པ་བཏང་བར།,
,,147,14,《པེ་》,ལི།,《སྣར་》,མི།,
,,148,15,《པེ་》《སྣར་》,ན།,,
,,149,16,《པེ་》《སྣར་》,འཐོབ།,,
,,150,17,《པེ་》《སྣར་》,ལྟ།,,
,,151,18,《པེ་》《སྣར་》,མན།,,
,,152,19,《པེ་》《སྣར་》,མང་བ་ཡི།,,
,1341,153,1,《པེ་》《སྣར་》,ཡི།,,
,,154,2,《པེ་》《སྣར་》,ཤིང་།,,
,,155,3,《པེ་》《སྣར་》,མ།,,
,,156,4,《པེ་》《སྣར་》,བརྙལ།,,
,,157,5,《པེ་》《སྣར་》,ཀ,,
,,158,6,《པེ་》《སྣར་》,ཡི།,,
,,159,7,《སྣར་》,འདུས།,,
,,160,8,《པེ་》《སྣར་》,གྲུབ་པོ།,,
,,161,9,《པེ་》《སྣར་》,གངས།,
,,162,10,《པེ་》《སྣར་》,བསྟེན།,
,,163,11,《པེ་》《སྣར་》,ཅིང་།,
,,164,12,《པེ་》《སྣར་》,སྤངས།,
,,165,13,《སྣར་》,པ།,
,,166,14,《པེ་》《སྣར་》,རུངས།,
,,167,15,《པེ་》《སྣར་》,ཟད།,
,,168,16,《པེ་》《སྣར་》,གྱིས།,
,,169,17,《པེ་》《སྣར་》,ལྟ་བུ་ཡི།,
,1342,170,1,《པེ་》《སྣར་》,བ་ནི། །དེ།,
,,171,2,《པེ་》《སྣར་》,འདབས།,
,,172,3,《པེ་》《སྣར་》,སྐྱུངས།,
,,173,4,《པེ་》《སྣར་》,དེ་ཉིད།,
,,174,5,《པེ་》《སྣར་》,ཟད།,
,,175,6,《པེ་》《སྣར་》,༼ འདི་རྣམས།,
,,176,7,《པེ་》《སྣར་》,བསྟན་ཆོས་ཡུལ།,
,,177,8,《པེ་》《སྣར་》,ཆོས་ཀྱི་སྙན་དངགས།,
,,178,9,《པེ་》《སྣར་》,༽ འཕགས་པ།,
,,179,10,《པེ་》《སྣར་》,ཤི་ལེནྡ།,
,,180,11,《པེ་》《སྣར་》,ལོཙྪ།,
